,name
0,South_America_ns
1,Barbados
2,Israel_Palestine
3,China
4,Bosnia
5,Ghana
6,Spain
7,Kuwait
8,France
9,Paraguay
10,Montenegro
11,Sri_Lanka_Ceylon_
12,Yemen_Arab_Republic_North_
13,Ireland
14,Singapore
15,Micronesia
16,Nepal
17,Puerto_Rico
18,Ivory_Coast
19,Mexico
20,India
21,Antigua_Barbuda
22,Jamaica
23,Hong_Kong
24,Belgium
25,Bermuda
26,Samoa_1940_1950
27,Cuba
28,Dominican_Republic
29,Americas_ns
30,Argentina
31,Slovakia
32,Sierra_Leone
33,Burma_Myanmar_
34,El_Salvador
35,United_Arab_Emirates
36,Tonga
37,Hungary
38,Ethiopia
39,Lebanon
40,Albania
41,USSR_ns
42,Togo
43,Uganda
44,Armenia
45,Norway
46,Moldavia
47,Poland
48,Italy
49,Tanzania
50,Romania
51,Asia_nec_ns
52,Finland
53,Bulgaria
54,Philippines
55,Tunisia
56,Denmark
57,West_Indies_ns
58,Syria
59,Africa_ns_nec
60,Dominica
61,Scotland
62,Caribbean_ns
63,Japan
64,Taiwan
65,Germany
66,Northern_Ireland
67,Saudi_Arabia
68,Sudan
69,Greece
70,Brazil
71,Czech_Republic
72,Pakistan
73,Gambia
74,Azerbaijan
75,Guinea
76,Belize_British_Honduras
77,Yugoslavia
78,Trinidad_and_Tobago
79,Korea
80,Azores
81,Uruguay
82,Bolivia
83,Portugal
84,Other_USSR_Russia
85,American_Samoa
86,Grenada
87,Iraq
88,Indonesia
89,Morocco
90,Zimbabwe
91,Jordan
92,Congo
93,Bhutan
94,Eritrea
95,Haiti
96,Kenya
97,Thailand
98,Netherlands
99,Cape_Verde
100,Bangladesh
101,Mongolia
102,Algeria
103,Iran
104,Uzbekistan
105,Croatia
106,Bahamas
107,Other_n_e_c_
108,Nicaragua
109,Macedonia
110,El Salvador
111,Canada
112,New_Zealand
113,United_Kingdom_ns
114,Northern_Mariana_Islands
115,Zaire
116,Peru
117,Latvia
118,Guam
119,Afghanistan
120,England
121,Panama
122,St_Lucia
123,Kirghizia
124,Ecuador
125,Turkey
126,Rwanda
127,Europe_ns_
128,Sweden
129,St_Vincent
130,Switzerland
131,Malaysia
132,Western_Africa_ns
133,Dominican Republic
134,Guyana_British_Guiana
135,St_Kitts_Nevis
136,Marshall_Islands
137,Kazakhstan
138,Eastern_Africa_nec_ns
139,Fiji
140,Kosovo
141,Vietnam
142,Senegal
143,Cambodia_Kampuchea_
144,South Sudan
145,Ukraine
146,Honduras
147,South_Africa_Union_of_
148,Austria
149,Lithuania
150,Laos
151,Cameroon
152,Chile
153,Byelorussia
154,Libya
155,Venezuela
156,U_S_Virgin_Islands
157,Czechoslovakia
158,Somalia
159,Serbia
160,Colombia
161,South_Sudan
162,Nigeria
163,Egypt_United_Arab_Rep_
164,Republic_of_Georgia
165,Zambia
166,Iceland
167,Guatemala
168,Australia
169,Liberia
170,Costa_Rica
